record_id,event_id,timestamp,name,cpf,dob,phone,email,company,account,counterparty,amount,currency,channel,city,device_id,source_system,notes
R001,EVT-A000,17/08/2024 20:24 -03:00,Carlos Eduardo Silva,111.222.333-44,14/05/1980,27 9 9999 1234,carlos@mail.test,Nexus Log LTDA,36020-3,Sigma ME,12769.79,BRL,saque,Vila Velha,DEV-737,Nexus,
R002,EVT-A001,19/08/2024 15:17 -03:00,Carlos Eduardo Silva,111.222.333-44,14/05/1980,(27) 99999-1234,carlos@mail.test,Nexus Log LTDA,22304-0,Delta Comercial,48580.17,BRL,saque,Vila Velha,DEV-606,Nexus,
R003,EVT-A002,15/08/2024 17:37 -03:00,Carlos Eduardo Silva,111.222.333-44,14/05/1980,27 9 9999 1234,carlos@mail.test,Nexus Log LTDA,96656-9,BR Trade,25049.16,BRL,boleto,Vila Velha,DEV-998,Nexus,
R004,EVT-A003,19/08/2024 15h44,Carlos Eduardo Silva,111.222.333-44,14/05/1980,(27) 99999-1234,carlos@mail.test,Nexus Log LTDA,19515-7,Delta Comercial,17574.11,BRL,saque,Vila Velha,DEV-536,Nexus,
R005,EVT-A004,2024-08-13T10:37:00-03:00,Carlos Eduardo Silva,111.222.333-44,14/05/1980,+55 27 99999-1234,carlos@mail.test,Nexus Log LTDA,37857-2,Sigma ME,47937.04,BRL,TED,Vila Velha,DEV-922,Nexus,
R006,EVT-A005,14/08/2024 08:31 -03:00,Carlos Eduardo Silva,111.222.333-44,14/05/1980,27999991234,carlos@mail.test,Nexus Log LTDA,17649-4,Órion Serviços,70667.34,BRL,TED,Vila Velha,DEV-551,Nexus,
R007,EVT-A006,12/08/2024 15h46,Carlos Eduardo Silva,111.222.333-44,14/05/1980,27999991234,carlos@mail.test,Nexus Log LTDA,50996-4,Delta Comercial,82439.63,BRL,boleto,Vila Velha,DEV-698,Vanguarda,
R008,EVT-A007,15/08/2024 09:11 -03:00,Carlos Eduardo Silva,111.222.333-44,14/05/1980,(27) 99999-1234,carlos@mail.test,Nexus Log LTDA,33571-5,Delta Comercial,38806.65,BRL,PIX,Vila Velha,DEV-712,Nexus,
R009,EVT-A008,12/08/2024 12:25 -03:00,Carlos Eduardo Silva,111.222.333-44,14/05/1980,27 9 9999 1234,carlos@mail.test,Nexus Log LTDA,38246-6,Sigma ME,49957.23,BRL,saque,Vila Velha,DEV-729,Nexus,
R010,EVT-A009,2024-08-20T19:02:00-03:00,Carlos Eduardo Silva,111.222.333-44,14/05/1980,+55 27 99999-1234,carlos@mail.test,Nexus Log LTDA,61519-0,Delta Comercial,82398.70,BRL,TED,Vila Velha,DEV-409,Nexus,
R011,EVT-A010,15/08/2024 22:09 -03:00,Carlos Eduardo Silva,111.222.333-44,14/05/1980,(27) 99999-1234,carlos@mail.test,Nexus Log LTDA,34957-0,Órion Serviços,51211.87,BRL,saque,Vila Velha,DEV-662,Vanguarda,
R012,EVT-A011,18/08/2024 19h42,Carlos Eduardo Silva,111.222.333-44,14/05/1980,+55 27 99999-1234,carlos@mail.test,Nexus Log LTDA,28587-3,BR Trade,27990.08,BRL,saque,Vila Velha,DEV-531,Nexus,
